@RELATION MetaCritic

@ATTRIBUTE year	INTEGER
@ATTRIBUTE rating	{EC,E,E10,T,M,AO,RP}
@ATTRIBUTE genre	{Action,ActionAdventure,Adventure,Driving,Fighting,MMO,Platformer,Party,Puzzle,RPG,Shooter,Sports,Simulation,Strategy,Misc}
@ATTRIBUTE score	REAL
@ATTRIBUTE userScore	REAL
@ATTRIBUTE class	{PC,Console}

@DATA
2010,T,RPG,0.78,8.6,PC
2010,T,Strategy,0.78,8.9,PC
2010,T,Simulation,0.78,9.3,PC
2010,M,ActionAdventure,0.77,7.1,PC
2010,T,?,0.77,7.8,PC
2010,?,?,0.77,8.5,PC
2010,E10,Strategy,0.77,6.1,PC
2010,T,Adventure,0.77,0,PC
2010,T,?,0.77,0,PC
2010,M,Shooter,0.76,7.6,PC
2010,?,?,0.76,8.6,PC
2010,?,?,0.76,8.2,PC
2010,T,Strategy,0.76,8.2,PC
2010,M,?,0.76,6.6,PC
2010,E,?,0.76,7.9,PC
2010,?,?,0.76,8.2,PC
2010,T,RPG,0.76,7,PC
2010,?,?,0.76,8.3,PC
2010,?,?,0.76,8.3,PC
2010,T,?,0.75,7.9,PC
2010,?,?,0.75,0,PC
2010,?,?,0.75,5.3,PC
2010,T,ActionAdventure,0.75,5.6,PC
2010,M,?,0.75,8,PC
2010,?,?,0.75,0,PC
2010,?,?,0.75,8.2,PC
2010,T,ActionAdventure,0.75,8.5,PC
2010,?,Strategy,0.75,7.9,PC
2010,?,?,0.75,0,PC
2010,?,?,0.75,9.1,PC
2010,?,ActionAdventure,0.74,7.4,PC
2010,T,?,0.74,7.1,PC
2010,T,Misc,0.74,7.2,PC
2010,E,Action,0.73,0,PC
2010,M,Shooter,0.73,7.2,PC
2010,T,?,0.73,4.8,PC
2010,?,Puzzle,0.73,7.4,PC
2010,T,?,0.73,6.4,PC
2010,M,RPG,0.72,7.5,PC
2010,M,Shooter,0.72,6.4,PC
2010,?,?,0.72,0,PC
2010,M,Shooter,0.72,0,PC
2010,M,RPG,0.72,7.6,PC
2010,?,?,0.72,0,PC
2010,?,?,0.71,0,PC
2010,?,?,0.71,7.3,PC
2010,?,?,0.71,8.4,PC
2010,E10,?,0.71,8,PC
2010,E,Platformer,0.71,0,PC
2010,M,?,0.71,7.6,PC
2010,?,Strategy,0.71,4.9,PC
2010,?,?,0.7,8.9,PC
2010,E,Adventure,0.7,8.6,PC
2010,M,Shooter,0.7,8.6,PC
2010,T,?,0.7,8.1,PC
2010,?,?,0.7,8.6,PC
2010,?,?,0.7,6.9,PC
2010,?,?,0.7,6.7,PC
2010,?,?,0.7,5.6,PC
2010,E10,MMO,0.7,8.2,PC
2010,M,?,0.69,7,PC
2010,E10,?,0.69,8,PC
2010,T,?,0.69,4.6,PC
2010,M,?,0.69,7,PC
2010,?,Misc,0.69,0,PC
2010,?,?,0.69,0,PC
2010,T,?,0.68,7.3,PC
2010,?,?,0.68,6.3,PC
2010,?,?,0.68,6.8,PC
2010,T,Strategy,0.68,0,PC
2010,M,Shooter,0.68,7.6,PC
2010,E,?,0.67,0,PC
2010,M,?,0.67,1.6,PC
2010,M,?,0.67,7,PC
2010,M,?,0.66,4.6,PC
2010,?,?,0.66,6,PC
2010,?,?,0.66,0,PC
2010,E,?,0.66,0,PC
2010,E,Strategy,0.66,6.1,PC
2010,T,MMO,0.66,6,PC
2010,T,Misc,0.66,4.1,PC
2010,?,?,0.66,8.6,PC
2010,M,Shooter,0.66,5.3,PC
2010,T,?,0.66,0,PC
2010,E,?,0.65,5.1,PC
2010,E,Driving,0.65,6.5,PC
2010,?,?,0.65,5.9,PC
2010,T,?,0.65,5.4,PC
2010,E10,?,0.65,0,PC
2010,T,?,0.64,0,PC
2010,T,Simulation,0.64,0,PC
2010,T,?,0.64,7.3,PC
2010,T,Shooter,0.64,0,PC
2010,T,Strategy,0.64,2.1,PC
2010,T,Shooter,0.63,7,PC
2010,T,Shooter,0.63,7,PC
2010,T,?,0.63,7.6,PC
2010,T,Shooter,0.63,5.2,PC
2010,?,?,0.63,0,PC
2010,E10,Platformer,0.63,0,PC
2010,T,?,0.63,4.7,PC
2010,?,?,0.63,0,PC
2010,E10,Action,0.63,4.4,PC
2010,E10,Driving,0.62,5.1,PC
2010,T,Simulation,0.62,2.4,PC
2010,E,?,0.62,7.7,PC
2010,?,?,0.62,0,PC
2010,E10,Shooter,0.62,0,PC
2010,?,?,0.61,0,PC
2010,T,Driving,0.6,0,PC
2010,?,?,0.6,0,PC
2010,T,Strategy,0.6,0,PC
2010,T,?,0.59,5.3,PC
2010,T,?,0.59,7.2,PC
2010,M,MMO,0.58,5.7,PC
2010,M,?,0.58,2.6,PC
2010,E,Strategy,0.58,2.3,PC
2010,E,?,0.57,2.7,PC
2010,M,RPG,0.57,3.7,PC
2010,T,?,0.57,4.4,PC
2010,T,?,0.57,5,PC
2010,T,?,0.57,0,PC
2010,M,RPG,0.56,3.6,PC
2010,E10,?,0.56,5.2,PC
2010,T,?,0.56,7.4,PC
2010,E10,Action,0.56,0,PC
2010,M,Shooter,0.55,5.7,PC
2010,T,?,0.55,0,PC
2010,?,?,0.55,0,PC
2010,E,?,0.54,0,PC
2010,?,?,0.54,9.6,PC
2010,T,Strategy,0.53,0,PC
2010,T,?,0.53,5.9,PC
2010,T,?,0.52,7.3,PC
2010,?,?,0.51,7.2,PC
2010,T,MMO,0.49,3.7,PC
2010,E,?,0.49,5.6,PC
2010,E10,?,0.49,7.5,PC
2010,?,?,0.47,8.7,PC
2010,T,Adventure,0.47,5.5,PC
2010,M,Adventure,0.47,0,PC
2010,?,Shooter,0.44,4.9,PC
2010,?,?,0.44,2.7,PC
2010,?,?,0.44,5,PC
2010,M,?,0.42,0,PC
2010,E10,Strategy,0.38,0,PC
2010,T,?,0.37,0,PC
2009,T,ActionAdventure,0.91,8.9,PC
2009,T,Misc,0.91,8.3,PC
2009,M,RPG,0.91,8.3,PC
2009,E10,Platformer,0.9,8.8,PC
2009,T,?,0.9,6.8,PC
2009,M,?,0.89,8.5,PC
2009,T,Driving,0.89,8.2,PC
2009,T,MMO,0.88,8.1,PC
2009,E10,Strategy,0.87,9.2,PC
2009,E,?,0.87,9.4,PC
2009,E10,Driving,0.87,8.3,PC
2009,M,ActionAdventure,0.86,7.1,PC
2009,T,Misc,0.86,7.4,PC
2009,M,Shooter,0.86,3.7,PC
2009,E10,Adventure,0.86,9.4,PC
2009,E10,?,0.86,9.4,PC
2009,M,Strategy,0.85,8.2,PC
2009,E,Sports,0.85,7.3,PC
2009,E10,?,0.85,5.5,PC
2009,?,?,0.85,9.2,PC
2009,?,?,0.84,8.2,PC
2009,M,Shooter,0.84,7.6,PC
2009,T,MMO,0.83,7.9,PC
2009,?,?,0.83,8.4,PC
2009,E,Driving,0.83,5.1,PC
2009,T,?,0.83,8.7,PC
2009,M,Shooter,0.82,7.7,PC
2009,T,Strategy,0.82,8.8,PC
2009,?,Adventure,0.82,8.4,PC
2009,?,?,0.82,2.5,PC
2009,E10,Puzzle,0.82,0,PC
2009,T,?,0.82,8.9,PC
2009,T,Simulation,0.82,8.7,PC
2009,T,Misc,0.81,8.5,PC
2009,?,?,0.81,8.7,PC
2009,M,Shooter,0.81,7.8,PC
2009,M,RPG,0.81,6.7,PC
2009,?,?,0.81,8.2,PC
2009,T,Shooter,0.81,8.2,PC
2009,E,Puzzle,0.8,8.4,PC
2009,M,Shooter,0.8,7.6,PC
2009,?,?,0.8,9,PC
2009,E,ActionAdventure,0.8,8.7,PC
2009,M,Strategy,0.8,7.8,PC
2009,?,?,0.8,9.7,PC
2009,T,Strategy,0.8,9.7,PC
2009,?,?,0.8,6.9,PC
2009,M,RPG,0.79,7.1,PC
2009,?,Adventure,0.79,7.3,PC
2009,?,?,0.79,7.5,PC
2009,T,Strategy,0.79,8.3,PC
2009,E,Adventure,0.79,8.6,PC
2009,?,?,0.79,9.6,PC
2009,M,ActionAdventure,0.79,8.4,PC
2009,E10,MMO,0.79,6.6,PC
2009,T,Strategy,0.79,8.4,PC
2009,T,ActionAdventure,0.79,7.8,PC
2009,M,Shooter,0.79,7.9,PC
2009,?,?,0.79,8.8,PC
2009,?,?,0.79,8.6,PC
2009,?,Action,0.79,9.4,PC
2009,E,Puzzle,0.78,8,PC
2009,M,?,0.78,6.6,PC
2009,T,RPG,0.78,8.3,PC
2009,T,Simulation,0.78,7.9,PC
2009,E,Sports,0.78,7.6,PC
2009,M,Shooter,0.78,8,PC
2009,E,?,0.78,7.6,PC
2009,E,Adventure,0.78,0,PC
2009,M,RPG,0.78,6,PC
2009,M,Shooter,0.77,7.7,PC
2009,T,Shooter,0.77,8.3,PC
2009,?,?,0.77,7.6,PC
2009,E10,Strategy,0.77,6.4,PC
2009,E10,?,0.77,6.6,PC
2009,?,?,0.77,8,PC
2009,?,MMO,0.77,8.8,PC
2009,M,RPG,0.77,8.2,PC
2009,M,Action,0.77,9.1,PC
2009,E10,Puzzle,0.77,8,PC
2009,T,Strategy,0.77,8,PC
2009,T,MMO,0.76,6.6,PC
2009,M,Shooter,0.76,4.8,PC
2009,M,ActionAdventure,0.76,8.1,PC
2009,E,Adventure,0.76,0,PC
2009,?,?,0.76,0,PC
2009,T,Strategy,0.76,8,PC
2009,E,Sports,0.75,6.4,PC
2009,?,?,0.75,0,PC
2009,?,MMO,0.75,6.8,PC
2009,E10,Platformer,0.75,7.8,PC
2009,T,Strategy,0.75,6.9,PC
2009,E,Platformer,0.75,7.7,PC
2009,T,RPG,0.75,8.8,PC
2009,T,Strategy,0.74,8.5,PC
2009,T,Action,0.74,7.4,PC
2009,M,Shooter,0.74,6.9,PC
2009,E10,ActionAdventure,0.74,8.7,PC
2009,?,?,0.74,7.8,PC
2009,M,ActionAdventure,0.73,7.6,PC
2009,E,?,0.73,8.8,PC
2009,?,?,0.73,8.6,PC
2009,T,Adventure,0.73,0,PC
2009,T,RPG,0.73,9,PC
2009,?,?,0.73,8.8,PC
2009,T,Simulation,0.73,7.9,PC
2009,?,?,0.72,7.4,PC
2009,T,Strategy,0.72,7.1,PC
2009,E,Adventure,0.72,0,PC
2009,T,?,0.72,8.6,PC
2009,E,Adventure,0.72,0,PC
2009,E10,Puzzle,0.72,7.3,PC
2009,T,Shooter,0.72,7.3,PC
2009,T,MMO,0.72,6.3,PC
2009,T,Strategy,0.72,8.2,PC
2009,T,Shooter,0.72,8.2,PC
2009,T,Sports,0.72,7,PC
2009,M,ActionAdventure,0.72,6.5,PC
2009,?,?,0.72,6.2,PC
2009,M,?,0.72,8.9,PC
2009,E,?,0.72,2.8,PC
2009,T,Puzzle,0.71,7.1,PC
2009,M,MMO,0.71,7.5,PC
2009,T,Strategy,0.71,7.1,PC
2009,?,?,0.71,6.4,PC
2009,T,Adventure,0.71,0,PC
2009,M,Strategy,0.7,6.9,PC
2009,T,Misc,0.7,7.7,PC
2009,T,Shooter,0.7,7.8,PC
2009,E10,Strategy,0.7,7.5,PC
2009,E,?,0.69,0,PC
2009,T,Shooter,0.69,7.7,PC
2009,T,Action,0.69,6.1,PC
2009,M,Adventure,0.69,6.5,PC
2009,T,Strategy,0.69,7.5,PC
2009,E,Strategy,0.69,3.8,PC
2009,T,Strategy,0.68,7.2,PC
2009,T,?,0.68,0,PC
2009,M,RPG,0.68,4.9,PC
2009,E,?,0.68,7.3,PC
2009,E,?,0.68,5.8,PC
2009,M,Shooter,0.68,8.4,PC
2009,E10,Action,0.67,0,PC
2009,M,Adventure,0.67,5.8,PC
2009,T,Strategy,0.67,0,PC
2009,E,Driving,0.67,6.7,PC
2009,T,ActionAdventure,0.67,5.6,PC
2009,?,?,0.66,8.5,PC
2009,?,?,0.66,4.8,PC
2009,M,RPG,0.66,8.4,PC
2009,E10,ActionAdventure,0.66,0,PC
2009,E10,ActionAdventure,0.66,4,PC
2009,M,?,0.66,5.9,PC
2009,E10,MMO,0.65,8,PC
2009,T,Simulation,0.65,6.8,PC
2009,T,Action,0.65,5.1,PC
2009,M,?,0.65,5.5,PC
2009,E,?,0.65,6,PC
2009,T,Strategy,0.65,7.2,PC
2009,?,?,0.64,0,PC
2009,T,?,0.64,7.1,PC
2009,M,Adventure,0.64,0,PC
2009,E,?,0.64,7.8,PC
2009,E,ActionAdventure,0.64,4.6,PC
2009,E10,Strategy,0.64,7.1,PC
2009,M,Shooter,0.63,6,PC
2009,M,Adventure,0.63,5.3,PC
2009,?,?,0.63,6.4,PC
2009,T,Strategy,0.63,7.3,PC
2009,?,?,0.63,0,PC
2009,E10,ActionAdventure,0.63,0,PC
2009,M,Shooter,0.62,7.4,PC
2009,M,ActionAdventure,0.61,7.2,PC
2009,E10,Action,0.61,0,PC
2009,M,RPG,0.61,6.8,PC
2009,M,Shooter,0.61,7,PC
2009,M,Fighting,0.61,8.3,PC
2009,M,Driving,0.6,7.4,PC
2009,?,?,0.59,4,PC
2009,T,Action,0.59,8,PC
2009,T,Driving,0.58,6.9,PC
2009,T,?,0.58,2.8,PC
2009,M,Shooter,0.57,5.9,PC
2009,T,ActionAdventure,0.57,6.3,PC
2009,T,?,0.56,0,PC
2009,M,ActionAdventure,0.55,0,PC
2009,M,Fighting,0.54,7.3,PC
2009,T,?,0.53,4.7,PC
2009,?,?,0.52,0,PC
2009,?,?,0.51,0,PC
2009,M,Shooter,0.51,5.9,PC
2009,E,?,0.5,4,PC
2009,T,Action,0.49,3.7,PC
2009,M,Shooter,0.47,5.2,PC
2009,?,?,0.47,0,PC
